,sentiment,id,date,query,user,text
0,0,1553795194,Sat Apr 18 15:13:59 PDT 2009,NO_QUERY,t_win,It's been the longest day ever! I still haven't eaten a thing all day 
1,0,2179002334,Mon Jun 15 08:30:28 PDT 2009,NO_QUERY,badsotheynv,I feel uber bad little ol lady is sick wanted 2 see her sick mom n the nurses wouldn't let her n she almost came 2 tears no bueno 
2,0,1936039755,Wed May 27 07:20:42 PDT 2009,NO_QUERY,mubi_just_do_it,goose just died...saddest scene i've seen... 
3,0,2185132296,Mon Jun 15 16:56:05 PDT 2009,NO_QUERY,walkthistown,@alexamarzi I KNOWW dont move 
4,0,2180496762,Mon Jun 15 10:33:02 PDT 2009,NO_QUERY,clare666,@Piewacket1 awwww pie... the 'once in a lifetime chance' comment was SO not what I needed to hear 
5,0,2214957904,Wed Jun 17 17:28:25 PDT 2009,NO_QUERY,awaay,"@DudinhaMelo ASIUHASHSA a-d-o-r-e-i o beijosnemligaqueeut̫comed :* HAHA, anyway, vou dormir too (: and @tommcfly, one more time sorry "
6,0,1550682517,Sat Apr 18 06:55:58 PDT 2009,NO_QUERY,janeywaney,But i don't wanna be awake yet 
7,0,2256793564,Sat Jun 20 13:18:49 PDT 2009,NO_QUERY,xxJaKeTluver,sad  get well demi *prays for the stength u need*@ddlovato
8,0,1694511546,Mon May 04 02:57:49 PDT 2009,NO_QUERY,FirstAdeKit,@arinaskandar Still coughing...still wheezing.  Gonna go doctors after work.
9,0,1971466416,Sat May 30 07:10:43 PDT 2009,NO_QUERY,Honey468,"@Saskiha really?? well,me2...i'm sad for u "
10,0,2214033579,Wed Jun 17 16:10:30 PDT 2009,NO_QUERY,supitsnic,"@PauiSoAwesome No, didn't have a way to record it. No DVR.  They're probably gonna show highlights of the parade or just watch it online."
11,0,2052375743,Sat Jun 06 00:31:19 PDT 2009,NO_QUERY,GalexyGirl,Trying desperatly to go to sleep without my man. 
12,0,2251275112,Sat Jun 20 02:59:25 PDT 2009,NO_QUERY,evilnoob,@nickdavies yeah...whooo 
13,0,2246851588,Fri Jun 19 18:13:08 PDT 2009,NO_QUERY,catchthesunrays,@MikeyD09 The one time NJTransit is on time! That sucks. 
14,0,1972018667,Sat May 30 08:23:24 PDT 2009,NO_QUERY,JustShyann,@BeautifulVee My shoes came but im going to send 3 pair back 
15,0,2233525077,Thu Jun 18 21:29:21 PDT 2009,NO_QUERY,Murrandahh,Grr I miss him; wish I could drive. Bleh. I'm feeling emotional today and more sensitive then usual. 
16,0,1973001552,Sat May 30 10:17:18 PDT 2009,NO_QUERY,cathryntalbert,@edapalooza it's probably a bit of both. its sad  I know for a fact there are two little kids in that house under 6yrs old.
17,0,2060384770,Sat Jun 06 18:48:22 PDT 2009,NO_QUERY,LinellPC,I had my whole weekend scheduled around playing the sims 3 but since my laptop has been reduced to a paper weight i'll have to play xbox 
18,0,2046123025,Fri Jun 05 11:43:32 PDT 2009,NO_QUERY,MurrayCCRM,@andyfalleur  Missed ya at conference 
19,0,2211438444,Wed Jun 17 12:51:18 PDT 2009,NO_QUERY,ControlFreak,Sigh .. Apple's &quot;activation server&quot; is mocking me and my inactive iPhone 3.0 update 
20,0,1977232733,Sat May 30 20:26:54 PDT 2009,NO_QUERY,Samantha_Blue,staying home... decided it's been a lame ass week. 
21,0,1564165588,Mon Apr 20 02:06:34 PDT 2009,NO_QUERY,Superbatboy1981,"@MariahCarey I'm having trouble sleeping too   I loved Crybaby, where is Damizza?"
22,0,2245098865,Fri Jun 19 15:39:14 PDT 2009,NO_QUERY,pipsteret,"@LizLemonhead Give me the link of that lullaby maybe it will soothe me, too Lizzy... "
23,0,2202842192,Tue Jun 16 22:31:04 PDT 2009,NO_QUERY,liasta,"@Wil_Anderson WTF? Brilliant pictures, of you and everyone else. Shame art is so subjective sometimes "
24,0,2174881868,Sun Jun 14 23:32:19 PDT 2009,NO_QUERY,alliereynolds,I'm too scared to go to bed. 
25,0,2015389505,Wed Jun 03 04:32:03 PDT 2009,NO_QUERY,angell01,"wishes that people who are employed by people, who dont like people didn't have to "
26,0,2185033484,Mon Jun 15 16:47:06 PDT 2009,NO_QUERY,LatinoPolitics,Cannot find my Lamy Safari Fountain Pen.  I hope it turns up. I hate losing things like that. I love my fountain pen.
27,0,2057871315,Sat Jun 06 13:49:22 PDT 2009,NO_QUERY,janeslee,@Frannyann Ooh red stuff!Am on voddie tonight. Didn't go shopping. Will get red stuff for tomorrow though! Do prefer it but the calories 
28,0,2220629275,Thu Jun 18 03:34:30 PDT 2009,NO_QUERY,soulembark,flying back home today... 
29,0,2206945936,Wed Jun 17 07:16:24 PDT 2009,NO_QUERY,northerlywind,"Or no good/exciting/big pranks, anywho. "
30,0,2064632449,Sun Jun 07 06:47:13 PDT 2009,NO_QUERY,hannahblanch,"Sitting in a field with ma and pa, I already miss my holiday and it only ended 2 hours ago "
31,0,2247101821,Fri Jun 19 18:35:29 PDT 2009,NO_QUERY,LindseyShepherd,is exhausted from one day of twirling.. and there's still two more days!! 
32,0,2045283821,Fri Jun 05 10:30:13 PDT 2009,NO_QUERY,TWUC_Tara,My banana is all gone  lol
33,0,2177991612,Mon Jun 15 07:01:48 PDT 2009,NO_QUERY,OirishKev,Just rang apple. Apparently it takes a week to ship a product from china to the UK. Bollix does it. I hate waiting for new toys. 
34,0,1999982187,Mon Jun 01 21:10:55 PDT 2009,NO_QUERY,purplevelyn,Came back from Kundasang... Mt Kinabalu is so lovely...but forgot my camera 
35,0,2327108591,Thu Jun 25 07:55:50 PDT 2009,NO_QUERY,infovark,"MS Wiki Research surveys of 100+ wikis - Concludes - Immense Appeal, some successes, mostly dead wikis.  #e2conf"
36,0,1551520010,Sat Apr 18 09:16:22 PDT 2009,NO_QUERY,simon14771482,@simon14771482  ...out that bugs me. They surely could of let us know sooner 
37,0,2203740588,Wed Jun 17 00:25:32 PDT 2009,NO_QUERY,yasserazarnoush,"Photo Of five  student cemetery, recently died !  http://i39.tinypic.com/sc4yf4.jpg"
38,0,2231021707,Thu Jun 18 17:56:14 PDT 2009,NO_QUERY,Bekkahluv90210,finally got the nerve to call her ex after all the crap he put her through sucks he didnt answer. 
39,0,2257266746,Sat Jun 20 14:03:49 PDT 2009,NO_QUERY,ledub13,had to rethink the tile design  bust saved 1k next stop windows
40,0,2045310772,Fri Jun 05 10:32:32 PDT 2009,NO_QUERY,mooseymoose29,@zachcumer I was on the London underground and train declerated v rapidly... I kept going and smacked into a glass window with my arm... 
41,0,1978288923,Sat May 30 22:56:01 PDT 2009,NO_QUERY,rageko,@tevi well it's for mac  which makes it not awesome
42,0,1969748470,Sat May 30 01:05:01 PDT 2009,NO_QUERY,tricey143,um sawii that it had 2 happen then  me wanted 2 c u but we slept thru it!! @callmeking r u still gunna iggy me?
43,0,2235582305,Fri Jun 19 01:33:45 PDT 2009,NO_QUERY,RooooBee,@dannieboyTV i knoww! i was like mannn  and she was there lolll BRUNO!
44,0,2178068941,Mon Jun 15 07:08:52 PDT 2009,NO_QUERY,bmwsedee,"Got a 9 for my BSc project  Done some work in the house, hoping to be finished tomorrow... Not really believing it though  We'll see."
45,0,2061644208,Sat Jun 06 21:18:08 PDT 2009,NO_QUERY,kateashleyx3mcr,my dance recital's are over for this year  videos are on facebook-baba o'reily. maybe taking more dance classes next year...we'll see
46,0,2249077096,Fri Jun 19 21:40:47 PDT 2009,NO_QUERY,struhar2009,wrist pain  do those magnetic bracelets work for that?
47,0,2241001352,Fri Jun 19 10:25:20 PDT 2009,NO_QUERY,JaayL,"@vaironp cuz I came where they sent me, but then my prtnr changed me, &amp; bro didn't even wait for me making me hunt him down for 3 blcks "
48,0,1573437449,Tue Apr 21 01:10:04 PDT 2009,NO_QUERY,Iris87,Hate this weather! I can't sleep my room is too hot! 
49,0,1980142425,Sun May 31 05:50:01 PDT 2009,NO_QUERY,libster_t,"Now I have done my revision, time to tidy my room "
50,0,2066936962,Sun Jun 07 11:26:54 PDT 2009,NO_QUERY,rammstrike,Headace  A.K.A. Hoofdpijn
51,0,2014729024,Wed Jun 03 02:29:42 PDT 2009,NO_QUERY,marielle_may,@German_girl16 maybe i'll be online next week..i'm really sorry best.. 
52,0,2185176541,Mon Jun 15 17:00:02 PDT 2009,NO_QUERY,MajorTom617,"@anosako aww, super sadness!  I never get to go to Japan either    ...  I wonder how big I'd be over there..."
53,0,2052576757,Sat Jun 06 01:12:50 PDT 2009,NO_QUERY,LoveIsOveratedx,enough with the mixed signal's 
54,0,1967943902,Fri May 29 20:29:28 PDT 2009,NO_QUERY,kaylizzz,@lowrenlolz I tried cuddling with your daughter and she rejected me 
55,0,2068980986,Sun Jun 07 15:03:00 PDT 2009,NO_QUERY,sherenag,Yay!!! Back in the ATL! Will miss San Diego though. 
56,0,1979435196,Sun May 31 03:02:04 PDT 2009,NO_QUERY,carlosroman,http://twitpic.com/6bpqj - Broke my finger after completing a London to Brigthon bike ride 
57,0,1991654823,Mon Jun 01 07:25:47 PDT 2009,NO_QUERY,aschaeffer42,Last day  Hubby's down @ the ocean w/ 2 oldest boys while i'm reading on the condo balcony while baby naps.Ocean soothing to the soul. #fb
58,0,2257299839,Sat Jun 20 14:06:59 PDT 2009,NO_QUERY,lela2000,Talked to my cousin today last time I saw her she was in the 5th grade now she's in the 11th  where did the time go?
59,0,2216090006,Wed Jun 17 19:01:32 PDT 2009,NO_QUERY,rachel_annie,Misses her bestfriend marc super bad. seeing him for a few hours monday night didnt cut it. he needs to come back 
60,0,2191837082,Tue Jun 16 06:03:30 PDT 2009,NO_QUERY,Nimilia1621,"Taylor Lautner should have listened to his heart and not Summit. Forever &amp; Always, Taylena. "
61,0,2282098608,Mon Jun 22 10:56:28 PDT 2009,NO_QUERY,amber_25,I am cheering on Fernando Verdasco for Wimbledon! Though it's not the quite the same as cheering for Rafael Nadal 
62,0,2184055116,Mon Jun 15 15:21:23 PDT 2009,NO_QUERY,manda_noelle85,"@inkvol i'm kidding, I don't hate you, but I am super jealous haha  I try, haha why?"
63,0,2296298718,Tue Jun 23 09:00:45 PDT 2009,NO_QUERY,Smudger61,"@salwaytay ahaha, omg, i know, it is stupidly hot "
64,0,1977922494,Sat May 30 22:00:53 PDT 2009,NO_QUERY,alg395,"@TrislynMarie i'm going with ross. guhh but the city is like 30 miles away from long island, so all possible stalking is off. "
65,0,1983150296,Sun May 31 12:36:04 PDT 2009,NO_QUERY,mikeisfli,"In a meeting with @kdenise planning CEO for next year's HS students.  We were stood up by @awwyche and her partner in crime, Corey Smith "
66,0,2189868887,Tue Jun 16 01:07:22 PDT 2009,NO_QUERY,LauraBear,"Can't decide if its a cold or hayfever. I know which I'd prefer, but sadly I think its the other "
